,ITPKB,ITPKB,ITPKB,IP6K2,IP6K2,IP6K2,IP6K1,IP6K1,IP6K1,PPIP5K2,PPIP5K2,PPIP5K2,IP6K3,IP6K3,IP6K3,IPPK,IPPK,IPPK,IPMK,IPMK,IPMK,ITPK1,ITPK1,ITPK1,ITPKA,ITPKA,ITPKA,PPIP5K1,PPIP5K1,PPIP5K1,ITPKC,ITPKC,ITPKC
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Gene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adipose Tissue: Adipose - Subcutaneous,12.487476103007795,3.591997839134642,128,13.685221206396818,3.9940652515114152,128,12.68774792924523,2.652397523415312,128,2.682995180599392,0.6658826005727226,128,1.4884299908953837,2.2674304392234914,128,2.237532605417073,0.5425299982106204,128,2.884572569280863,1.299230615088094,128,22.853711623698473,7.596229604906081,128,0.1250789977129898,0.0903457561833924,128,2.576404827646911,0.878118496850952,128,28.35159812122583,13.085977232812546,128
Adipose Tissue: Adipose - Visceral (Omentum),13.243254015522623,3.508796367637139,31,13.609529925930886,4.480156265826261,31,11.355997208626036,1.826263615125169,31,2.4042189236610176,0.4754077703182592,31,1.1399939641837147,1.3292510414823373,31,2.868331659224725,0.7617509024734767,31,2.3067887944559895,1.0572984613120475,31,16.450074165098126,7.004318155234571,31,0.18068762688386827,0.12549241845450776,31,2.0925832294648696,0.9091027814706794,31,38.16215181350707,30.102673209164145,31
Adrenal Gland: Adrenal Gland,2.9074821976514964,0.7016294913280479,52,22.39210413052485,5.159313719901619,52,13.534762199108421,1.682729586223115,52,2.6900846522587996,0.43846257474461503,52,0.2958002044962575,0.2051103622302879,52,3.8861402089779196,1.1027050227402473,52,1.123441446859103,0.5742401753465443,52,9.002555617919333,2.8223214976149396,52,7.018509511764233,3.8441336519165668,52,6.22584730386734,1.0333953075110858,52,10.158471776888918,2.4740591271049337,52
Bladder: Bladder,26.770809303630493,19.619843812710467,11,19.01269752329046,10.660340793068535,11,13.143262342973197,2.649872946464838,11,2.5019628784873276,0.6611111121541579,11,1.7451704401861527,1.9478573273139645,11,2.492022893645546,0.6434759812617313,11,1.6427729292349376,0.673738838295096,11,22.669456828724247,14.682363334505457,11,0.5064556327733128,0.3440963127821994,11,4.000045993111349,0.7711970809183155,11,19.042914563959297,7.32745386672065,11
Blood Vessel: Artery - Aorta,5.978953149260544,1.5686783900467318,82,11.333188033685452,2.778686250735283,82,11.672730236518676,1.7863368802371349,82,3.47363659085297,0.9750289954484307,82,0.35505708626176163,0.3159365535009703,82,2.0817334077707152,0.5418437735546368,82,0.9148355671545356,0.32655589861288375,82,14.556101961833672,2.974099273931994,82,0.1631122157659109,0.10727684596130178,82,2.154049602950492,0.4671258703533379,82,17.638450093385657,8.389935047688663,82
Blood Vessel: Artery - Coronary,5.173199734904551,1.8849561360320055,44,15.866605270992626,5.448518984634621,44,13.0379123471,1.8189322212479717,44,4.06031225215305,1.2956139869216783,44,1.4272324388677415,1.1813313374475864,44,2.351602454077114,0.5255759960228725,44,1.0217459167946468,0.4070207817312908,44,22.58809906786139,7.428452188064317,44,0.15152132506905627,0.09002783976112885,44,2.0235386490821843,0.6658229156901386,44,16.384741122072395,6.255123244896736,44
Blood Vessel: Artery - Tibial,4.0221225506197795,1.6960606797918754,137,9.497198706995832,2.774930783714799,137,13.774427441784935,2.5948305977659962,137,3.062466309018379,0.9709106866294076,137,0.9408078793381905,1.0614830698734903,137,1.8025980700541588,0.42838808687674473,137,1.5832247253317033,0.6866347983817069,137,22.946494972618826,8.11627843908489,137,0.13225262645414496,0.1142842749833681,137,1.8331895992703684,0.5443317500336341,137,15.565444615635558,8.010091502517561,137
Blood: Cells - EBV-transformed lymphocytes,5.423450313232564,2.383008622686279,54,11.828655666775179,1.4773634080636275,54,8.525621546639336,1.5510228984598295,54,4.677176824322453,0.875470848770793,54,0.03833247398681662,0.03786938467664717,54,6.256850843076353,0.843713246897258,54,3.776775388805955,1.3062174113824239,54,11.36577548804106,4.125946334123407,54,1.1141841593715878,0.572727457920911,54,3.030858256198741,0.5050368136064582,54,4.994413636348866,1.1639152906953496,54
Blood: Whole Blood,8.778693729046127,4.34632903821731,191,6.089472079776344,2.27558790467243,191,14.871449647773623,7.436077046357556,191,1.2889955091577863,1.0792931470291487,191,0.20937886937028918,0.6774032594939924,191,1.0505096529907894,0.6369558307041894,191,3.2447870741964007,2.567258926170174,191,21.884706243794625,12.076765107481119,191,0.09266152417199462,0.09686702547540114,191,0.4932288379257263,0.38298886130929854,191,20.266686040693553,21.214952605124875,191
Brain: Brain - Amygdala,33.18438540972196,9.647817255836621,26,10.20282925092257,2.9826496402046074,26,16.42670492025522,4.403764986957059,26,1.4369864303332105,0.44061186011683323,26,1.9022230915725227,1.638817751203793,26,2.1940515431073995,0.7010328079524999,26,1.4239947864642513,0.3392032184344718,26,42.95944822751559,10.109984938314197,26,13.95046352423154,8.487578182771513,26,3.456992892118601,1.119139328358911,26,5.125311191265398,5.093576524879492,26
Brain: Brain - Anterior cingulate cortex (BA24),23.253047498789698,14.449706414012235,22,10.003916588696558,2.667041333513232,22,21.076022971760132,5.973835296774505,22,2.1706847060810444,0.8577718087226426,22,1.9798214374618077,3.6292294566443637,22,2.6711556532166214,0.9639049360229711,22,1.5443961999633091,0.42780390334524165,22,43.91100293939764,9.089288571619564,22,25.54722173647447,17.076551734075206,22,6.039473501118748,2.6094726185201917,22,4.0821044282479715,2.761501703713701,22
Brain: Brain - Caudate (basal ganglia),34.8268979522917,14.889018146890907,36,11.676752871937222,3.472601441738544,36,16.739663600921627,4.155588053432655,36,1.6638287305831916,0.5746331667850108,36,1.8571383348769603,1.5596260823674513,36,2.7120621121591992,0.849632027614229,36,1.571022679408391,0.48857913318699403,36,40.70409949620565,9.924687923691145,36,24.090706328550965,13.412402470540023,36,4.116258637772666,1.4609751537021665,36,5.279310325781505,3.9841116132501044,36
Brain: Brain - Cerebellar Hemisphere,8.501070647404104,3.6310424113641098,29,39.48121281327873,13.86707581823307,29,31.236914799131192,4.216070748491872,29,4.455371223647019,1.7506940731861218,29,0.36360673914695607,0.24637597859755303,29,7.007905294155252,2.087852359369043,29,2.9494422345325875,0.9467107644015502,29,19.25076866149902,3.8395927103731244,29,2.7330921220368363,1.9644920254343472,29,24.318399166238716,3.7909117869990747,29,5.658936936279823,1.1652401506085468,29
Brain: Brain - Cerebellum,13.543301366990605,5.268991129411095,31,39.42750783120432,9.036277624025436,31,36.43186815323369,3.2910140927002627,31,4.533747811471263,1.6932211740878726,31,0.6112385521973335,0.37113040934988684,31,6.0448417971211095,1.1711399454567006,31,2.237308017669185,0.6418200547758186,31,23.696990074649925,5.694433821133188,31,5.528658447727081,2.6883782138800507,31,27.45132870827953,3.8693809668779937,31,5.90658736998035,1.0232258683158457,31
Brain: Brain - Cortex,26.24137678146363,16.293765245815337,25,11.803260059356683,2.5913459214104972,25,33.18367218017578,5.294058081186849,25,2.0795189332962036,0.7039831111358948,25,1.5097692728042602,1.4974386877989585,25,3.100232915878296,0.766862941968724,25,1.1211545062065131,0.39892370522603043,25,55.080255126953126,9.608128282468929,25,40.58858959197997,17.62841108199121,25,8.054963655471802,1.6451426558286744,25,5.913236837387084,3.413774704718417,25
Brain: Brain - Frontal Cortex (BA9),22.47923046350479,14.250919683869803,28,11.191413249288292,2.761908302292254,28,26.615818704877576,6.4168865814589635,28,2.386413569961276,0.8695573988776955,28,1.0617450667279105,1.7096509115974294,28,3.222986962114061,1.06974399055233,28,1.5131981330258495,0.42352598127014146,28,49.21775920050485,8.166700834517377,28,31.509495360510694,15.059772289054862,28,6.658621532576425,2.0462073179218194,28,5.1552306754248445,2.6339286637236503,28
Brain: Brain - Hippocampus,26.548314775739396,14.230449941841831,28,9.789885469845368,2.804247155799363,28,17.144709910665238,6.085926022069216,28,1.4846119667802533,0.4203717574630704,28,2.6027255494679724,2.3017091492312205,28,2.461502115641321,1.1237357122806935,28,1.336313701101711,0.3488562631574439,28,46.3441173689706,10.084207482398366,28,14.830025377018112,10.955287308245271,28,3.674398903335843,1.4026596629601165,28,3.887527321066176,2.459971772765035,28
Brain: Brain - Hypothalamus,27.701392332712793,13.237733219248678,30,12.491560045878092,3.4845013427964227,30,18.90970505873362,6.50879058886293,30,2.3395605882008876,1.0159922722538566,30,2.5733014245827985,2.4856731502598106,30,3.1283457080523167,1.0747385529506503,30,1.689897437890371,0.6058402750206592,30,35.73080514272054,9.57112214646291,30,2.5434718698263166,8.652919496946632,30,5.4137264331181845,2.194824495159022,30,4.959554163614912,2.8631936342763766,30
Brain: Brain - Nucleus accumbens (basal ganglia),29.72147771716117,11.866472300833019,32,14.01103848218918,4.756933663722612,32,20.132915914058678,4.985567021220424,32,1.8029155675321809,0.6520016896222068,32,1.0783854182809594,0.9042572474836398,32,3.256659340113402,1.1957987331431486,32,1.63016620837152,0.5036204425315444,32,39.38030689954757,7.315246852281744,32,23.703346550464634,11.279569512961734,32,5.3095679469406605,1.9298488127990832,32,4.896850839257241,3.843371588331146,32
